"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"662","""How do I access my pay stubs?""","""Employee Benefits""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2021-03-08""","""TEST"""
"663","""What is the procedure for performance reviews?""","""Performance Reviews""","""You can access your pay stubs through the payroll section of the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2023-07-15""","""TEST"""
"664","""What is the company's leave policy?""","""Employment Verification""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Request time off,Leave request form,Employee portal""","""Can I work from home?""","""2023-12-09""","""VALIDATE"""
"665","""Who should I contact for IT support?""","""Pay Stubs""","""To request time off, please submit a leave request form through the employee portal.""","""Pay stubs,Employee portal,Payroll section""","""How do I report harassment?""","""2024-02-07""","""TRAIN"""
"666","""What benefits does the company offer?""","""Employee Benefits""","""To request time off, please submit a leave request form through the employee portal.""","""Employment verification,HR request,Employment letter""","""How do I submit a leave request?""","""2023-03-16""","""VALIDATE"""
"667","""How do I access my pay stubs?""","""Remote Work""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2024-05-12""","""VALIDATE"""
"668","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""How do I submit a leave request?""","""2023-01-30""","""TRAIN"""
"669","""How do I request a copy of my employment verification?""","""Employment Verification""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Workplace harassment,HR reporting,Email report""","""How can I get an employment verification letter?""","""2020-04-20""","""TEST"""
"670","""What benefits does the company offer?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Update personal information,Employee portal,Profile section""","""What is annual leave?""","""2022-04-15""","""VALIDATE"""
"671","""What is the procedure for performance reviews?""","""Employee Benefits""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Employee benefits,Health insurance,Retirement plans""","""How can I get an employment verification letter?""","""2020-02-24""","""TEST"""
"672","""How do I request a copy of my employment verification?""","""Employee Benefits""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""Where can I find my pay stubs online?""","""2023-02-13""","""TRAIN"""
"673","""What is the procedure for performance reviews?""","""Performance Reviews""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2022-06-21""","""TEST"""
"674","""What is the company's leave policy?""","""Employee Benefits""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Performance reviews,Annual review,HR procedures""","""How do I get IT help?""","""2022-07-24""","""VALIDATE"""
"675","""How can I update my personal information?""","""Leave Policy""","""To request an employment verification letter, please contact HR with your request.""","""IT support,Helpdesk,Contact IT""","""How do I get IT help?""","""2024-01-13""","""TRAIN"""
"676","""What is the process for reporting workplace harassment?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""IT support,Helpdesk,Contact IT""","""Can I work from home?""","""2021-10-22""","""TRAIN"""
"677","""What is the process for reporting workplace harassment?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""Remote work,Eligibility,Manager consultation""","""How do I submit a leave request?""","""2024-05-02""","""TRAIN"""
"678","""What benefits does the company offer?""","""Leave Request""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Pay stubs,Employee portal,Payroll section""","""How do I submit a leave request?""","""2021-06-27""","""TRAIN"""
"679","""How do I request a copy of my employment verification?""","""Employee Benefits""","""To request an employment verification letter, please contact HR with your request.""","""Pay stubs,Employee portal,Payroll section""","""How do I change my address in the system?""","""2023-10-25""","""VALIDATE"""
